"WAVELENGTH (MICRONS)" "FLUX (ERG/CM2/S/A)"
2.000000000e-01 7.3940445e-05
2.000400000e-01 5.6992655e-05
2.000800080e-01 4.3696836e-05
2.001200240e-01 1.9958171e-05
2.001600480e-01 3.4558888e-05
2.002000800e-01 4.9162525e-05
2.002401200e-01 6.2590917e-05
2.002801681e-01 6.7984985e-05
2.003202241e-01 7.4074556e-05
2.003602881e-01 7.7587892e-05
2.004003602e-01 8.1101931e-05
2.004404403e-01 8.3532456e-05
2.004805284e-01 7.9058545e-05
2.005206245e-01 7.4324735e-05
2.005607286e-01 7.0571591e-05
2.006008407e-01 6.6817695e-05
2.006409609e-01 6.3890255e-05
2.006810891e-01 6.5703528e-05
2.007212253e-01 6.5823068e-05
2.007613696e-01 7.2574247e-05
2.008015218e-01 7.9326775e-05
2.008416821e-01 8.3653330e-05
2.008818505e-01 7.5817170e-05
2.009220268e-01 6.9945008e-05
2.009622112e-01 5.6017374e-05
2.010024037e-01 4.2086955e-05
2.010426042e-01 3.7850657e-05
2.010828127e-01 7.5188973e-05
2.011230292e-01 1.2660287e-04
2.011632539e-01 1.1668388e-04
2.012034865e-01 1.0676291e-04
2.012437272e-01 1.0027420e-04
2.012839759e-01 1.0618755e-04
2.013242327e-01 1.2039363e-04
2.013644976e-01 9.5302548e-05
2.014047705e-01 7.0206450e-05
2.014450514e-01 5.1538056e-05
2.014853405e-01 5.2216079e-05
2.015256375e-01 5.6200364e-05
2.015659426e-01 4.2645911e-05
2.016062558e-01 2.9088747e-05
2.016465771e-01 3.0456763e-05
2.016869064e-01 6.8896166e-05
2.017272438e-01 1.1958336e-04
2.017675892e-01 9.4368902e-05
2.018079428e-01 6.9149406e-05
2.018483043e-01 6.3248995e-05
2.018886740e-01 9.6655051e-05
2.019290517e-01 1.3714617e-04
2.019694375e-01 1.2250684e-04
2.020098314e-01 1.0786458e-04
2.020502334e-01 9.9981253e-05
2.020906434e-01 1.0327051e-04
2.021310616e-01 1.0698060e-04
2.021714878e-01 1.0595822e-04
2.022119221e-01 1.0493564e-04
2.022523645e-01 1.0150261e-04
2.022928149e-01 9.4864973e-05
2.023332735e-01 8.9428617e-05
2.023737402e-01 5.4600768e-05
2.024142149e-01 1.9765953e-05
2.024546978e-01 1.7959369e-05
2.024951887e-01 5.1018177e-05
2.025356877e-01 8.3640829e-05
2.025761949e-01 9.0633941e-05
2.026167101e-01 9.6023860e-05
2.026572334e-01 1.0657492e-04
2.026977649e-01 1.1712810e-04
2.027383044e-01 1.2746056e-04
2.027788521e-01 1.3528383e-04
2.028194079e-01 1.5398878e-04
2.028599718e-01 1.3350986e-04
2.029005438e-01 1.1302684e-04
2.029411239e-01 9.9116772e-05
2.029817121e-01 1.2221740e-04
2.030223084e-01 1.5498202e-04
2.030629129e-01 1.4718840e-04
2.031035255e-01 1.3939322e-04
2.031441462e-01 1.3221751e-04
2.031847750e-01 1.2717791e-04
2.032254120e-01 1.3100202e-04
2.032660570e-01 8.8381550e-05
2.033067103e-01 4.5752552e-05
2.033473716e-01 2.9900061e-05
2.033880411e-01 7.5305129e-05
2.034287187e-01 1.2571482e-04
2.034694044e-01 1.3878064e-04
2.035100983e-01 1.5184907e-04
2.035508003e-01 1.4594688e-04
2.035915105e-01 1.1013525e-04
2.036322288e-01 7.2322972e-05
2.036729552e-01 6.5793831e-05
2.037136898e-01 5.9263383e-05
2.037544326e-01 6.5188816e-05
2.037951834e-01 8.4778990e-05
2.038359425e-01 1.0414471e-04
2.038767097e-01 1.1386442e-04
2.039174850e-01 1.2866069e-04
2.039582685e-01 1.2656809e-04
2.039990602e-01 1.2447507e-04
2.040398600e-01 1.2131666e-04
2.040806680e-01 1.1028051e-04
2.041214841e-01 9.4441142e-05
2.041623084e-01 9.7901859e-05
2.042031408e-01 1.0136327e-04
2.042439815e-01 1.0108281e-04
2.042848303e-01 8.7524025e-05
2.043256872e-01 6.7276541e-05
2.043665524e-01 8.6580292e-05
2.044074257e-01 1.0588790e-04
2.044483072e-01 1.1895992e-04
2.044891968e-01 1.2044299e-04
2.045300947e-01 1.2006093e-04
2.045710007e-01 1.4108376e-04
2.046119149e-01 1.6211080e-04
2.046528373e-01 1.4967601e-04
2.046937678e-01 9.7994781e-05
2.047347066e-01 4.7618525e-05
2.047756535e-01 7.2138618e-05
2.048166087e-01 1.1428380e-04
2.048575720e-01 9.7311349e-05
2.048985435e-01 8.0335498e-05
2.049395232e-01 6.2054594e-05
2.049805111e-01 3.5412299e-05
2.050215072e-01 -1.6108093e-05
2.050625115e-01 3.8877315e-05
2.051035240e-01 9.3873720e-05
2.051445447e-01 1.4059311e-04
2.051855736e-01 1.6336333e-04
2.052266107e-01 2.0035076e-04
2.052676561e-01 1.4418265e-04
2.053087096e-01 8.8003320e-05
2.053497713e-01 6.4920297e-05
2.053908413e-01 9.4933440e-05
2.054319195e-01 1.2658098e-04
2.054730058e-01 1.2444860e-04
2.055141004e-01 1.2560510e-04
2.055552033e-01 1.1667773e-04
2.055963143e-01 1.0774858e-04
2.056374336e-01 1.0309901e-04
2.056785611e-01 1.4544864e-04
2.057196968e-01 2.0927954e-04
2.057608407e-01 1.8987853e-04
2.058019929e-01 1.7047364e-04
2.058431533e-01 1.5360014e-04
2.058843219e-01 1.4559037e-04
2.059254988e-01 1.3338152e-04
2.059666839e-01 1.4570369e-04
2.060078772e-01 1.5802832e-04
2.060490788e-01 1.5918807e-04
2.060902886e-01 1.4099765e-04
2.061315067e-01 1.2276513e-04
2.061727330e-01 1.0520326e-04
