"WAVELENGTH (MICRONS)" "FLUX (ERG/CM2/S/A)"
2.071232169e-01 2.3536354e-03
2.071646416e-01 1.7902772e-03
2.072060745e-01 1.2268064e-03
2.072475157e-01 8.3573903e-04
2.072889652e-01 8.0110921e-04
2.073304230e-01 5.4172559e-04
2.073718891e-01 3.1124470e-03
2.074133635e-01 7.7741933e-03
2.074548461e-01 6.1436878e-03
2.074963371e-01 4.5128562e-03
2.075378364e-01 2.9857863e-03
2.075793439e-01 2.4804773e-03
2.076208598e-01 2.0475387e-03
2.076623840e-01 1.3130114e-03
2.077039165e-01 5.7833712e-04
2.077454572e-01 3.3511891e-04
2.077870063e-01 1.3829226e-03
2.078285637e-01 2.6898929e-03
2.078701295e-01 1.7581276e-03
2.079117035e-01 8.2617600e-04
2.079532858e-01 4.5072024e-04
2.079948765e-01 7.1890387e-04
2.080364755e-01 9.8551337e-04
2.080780827e-01 1.2264450e-03
2.081196984e-01 4.1304961e-04
2.081613223e-01 3.7227647e-03
2.082029546e-01 7.0331417e-03
2.082445952e-01 9.0699086e-03
2.082862441e-01 7.3725235e-03
2.083279013e-01 5.5537397e-03
2.083695669e-01 4.6827416e-03
2.084112408e-01 3.8115693e-03
2.084529231e-01 3.3682947e-03
2.084946137e-01 3.4398858e-03
2.085363126e-01 3.6116291e-03
2.085780198e-01 5.4892359e-03
2.086197354e-01 9.1377538e-03
2.086614594e-01 5.8372807e-03
2.087031917e-01 2.5361474e-03
2.087449323e-01 1.9320108e-04
2.087866813e-01 5.5244948e-04
2.088284386e-01 9.4626968e-04
2.088702043e-01 1.0465679e-03
2.089119784e-01 1.1468862e-03
2.089537608e-01 2.3742610e-03
2.089955515e-01 4.8581152e-03
2.090373506e-01 7.3020151e-03
2.090791581e-01 9.2821340e-03
2.091209739e-01 1.3194711e-02
2.091627981e-01 8.9721442e-03
2.092046307e-01 4.7487332e-03
2.092464716e-01 2.2022595e-03
2.092883209e-01 3.6070650e-03
2.093301786e-01 5.2592379e-03
2.093720446e-01 3.9576271e-03
2.094139190e-01 1.9749082e-03
2.094558018e-01 2.1672381e-03
2.094976930e-01 2.3596065e-03
2.095395925e-01 2.7087994e-03
2.095815004e-01 3.8979199e-03
2.096234167e-01 5.4121975e-03
2.096653414e-01 5.1803456e-03
2.097072745e-01 4.9484473e-03
2.097492159e-01 4.2982957e-03
2.097911658e-01 2.9844224e-03
2.098331240e-01 1.6911800e-03
2.098750906e-01 7.4481742e-03
2.099170656e-01 1.5672979e-02
2.099590491e-01 1.4933190e-02
2.100010409e-01 1.4193252e-02
2.100430411e-01 1.2606699e-02
2.100850497e-01 8.3251185e-03
2.101270667e-01 3.6377521e-03
2.101690921e-01 2.2225612e-03
2.102111259e-01 8.0708732e-04
2.102531681e-01 1.3689702e-03
2.102952188e-01 4.0763138e-03
2.103372778e-01 6.4938110e-03
2.103793453e-01 6.3466086e-03
2.104214211e-01 6.7598701e-03
2.104635054e-01 4.5754496e-03
2.105055981e-01 2.3905921e-03
2.105476993e-01 1.2377542e-03
2.105898088e-01 2.0097421e-03
2.106319268e-01 2.8127608e-03
2.106740531e-01 2.3731130e-03
2.107161880e-01 2.0027260e-03
2.107583312e-01 1.3890639e-03
2.108004829e-01 7.7527920e-04
2.108426430e-01 7.8756937e-04
2.108848115e-01 2.9118950e-03
2.109269884e-01 5.5406956e-03
2.109691738e-01 4.1287588e-03
2.110113677e-01 2.7165396e-03
2.110535699e-01 1.9875382e-03
2.110957807e-01 1.9773359e-03
2.111379998e-01 2.1260528e-03
2.111802274e-01 3.4580675e-03
2.112224635e-01 4.3754073e-03
2.112647080e-01 7.3715937e-03
2.113069609e-01 1.0368379e-02
2.113492223e-01 1.1266405e-02
2.113914921e-01 8.7941646e-03
2.114337704e-01 6.3303121e-03
2.114760572e-01 4.3446192e-03
2.115183524e-01 4.9386316e-04
2.115606561e-01 3.8927093e-03
2.116029682e-01 7.2922351e-03
2.116452888e-01 8.8190240e-03
2.116876179e-01 5.7668788e-03
2.117299554e-01 2.5674440e-03
2.117723014e-01 1.5541586e-03
2.118146558e-01 -8.2129144e-04
2.118570188e-01 1.3102511e-03
2.118993902e-01 3.4422200e-03
2.119417700e-01 6.4479655e-03
2.119841584e-01 1.2801963e-02
2.120265552e-01 2.1329019e-02
2.120689605e-01 1.3395630e-02
2.121113743e-01 5.4606543e-03
2.121537966e-01 1.4121892e-03
2.121962274e-01 1.4068217e-03
2.122386666e-01 1.3553976e-03
2.122811143e-01 1.0050323e-03
2.123235706e-01 -8.7540795e-04
2.123660353e-01 5.6643423e-03
2.124085085e-01 1.2205401e-02
2.124509902e-01 1.3202077e-02
2.124934804e-01 6.6476421e-03
2.125359791e-01 5.7608014e-04
2.125784863e-01 9.2763080e-04
2.126210020e-01 1.3916022e-03
2.126635262e-01 1.3450935e-03
2.127060589e-01 1.2985755e-03
2.127486001e-01 1.6640903e-03
2.127911498e-01 2.7414109e-03
2.128337080e-01 3.7992237e-03
2.128762748e-01 3.6912319e-03
2.129188500e-01 3.1893500e-03
2.129614338e-01 4.2666470e-03
2.130040261e-01 5.3441595e-03
2.130466269e-01 6.0826989e-03
2.130892362e-01 6.1000494e-03
2.131318541e-01 5.8986046e-03
2.131744804e-01 1.4054875e-02
2.132171153e-01 2.9033346e-02
2.132597588e-01 1.8882608e-02
2.133024107e-01 8.7298400e-03
2.133450712e-01 1.4622434e-03
2.133877402e-01 1.5110354e-03
2.134304178e-01 1.5461684e-03
2.134731038e-01 1.8209344e-03
2.135157985e-01 -9.9383483e-04
2.135585016e-01 6.9510112e-03
2.136012133e-01 1.4897446e-02
2.136439336e-01 1.9320146e-02
2.136866624e-01 1.3492662e-02
2.137293997e-01 7.1524613e-03
2.137721456e-01 7.3961949e-03
2.138149000e-01 5.0408571e-03
2.138576630e-01 1.1784459e-02
2.139004345e-01 1.8529410e-02
2.139432146e-01 2.0943654e-02
2.139860032e-01 1.1162592e-02
2.140288004e-01 6.3653659e-04
2.140716062e-01 7.9238979e-04
2.141144205e-01 1.0837687e-03
