"WAVELENGTH (MICRONS)" "FLUX (ERG/CM2/S/A)"
2.000000000e-01 3.8730621e-08
2.000400000e-01 6.8210429e-09
2.000800080e-01 3.9943413e-09
2.001200240e-01 -1.7044135e-10
2.001600480e-01 5.7629492e-10
2.002000800e-01 1.3231805e-09
2.002401200e-01 2.3806881e-09
2.002801681e-01 5.5563362e-09
2.003202241e-01 1.0719860e-08
2.003602881e-01 8.5084887e-09
2.004003602e-01 6.2966754e-09
2.004404403e-01 4.5890102e-09
2.004805284e-01 6.0945264e-09
2.005206245e-01 9.1405953e-09
2.005607286e-01 6.3498014e-09
2.006008407e-01 3.5584493e-09
2.006409609e-01 2.1737827e-09
2.006810891e-01 8.8547454e-09
2.007212253e-01 1.8958239e-08
2.007613696e-01 1.5671324e-08
2.008015218e-01 1.2383753e-08
2.008416821e-01 9.2037557e-09
2.008818505e-01 6.5654873e-09
2.009220268e-01 3.4368619e-09
2.009622112e-01 2.3147859e-09
2.010024037e-01 1.1924855e-09
2.010426042e-01 1.4139644e-08
2.010828127e-01 8.7413122e-08
2.011230292e-01 2.0169883e-07
2.011632539e-01 1.3723991e-07
2.012034865e-01 7.2768088e-08
2.012437272e-01 2.6059439e-08
2.012839759e-01 4.3542770e-08
2.013242327e-01 7.2709298e-08
2.013644976e-01 4.6522635e-08
2.014047705e-01 2.0330735e-08
2.014450514e-01 7.8221525e-10
2.014853405e-01 1.2293721e-09
2.015256375e-01 1.9468854e-09
2.015659426e-01 1.2307315e-09
2.016062558e-01 5.1443429e-10
2.016465771e-01 5.7960871e-09
2.016869064e-01 2.5974134e-08
2.017272438e-01 5.3879618e-08
2.017675892e-01 3.3890979e-08
2.018079428e-01 1.3898342e-08
2.018483043e-01 2.2164324e-08
2.018886740e-01 8.7921587e-08
2.019290517e-01 1.7216640e-07
2.019694375e-01 1.1251781e-07
2.020098314e-01 5.2857292e-08
2.020502334e-01 1.4850391e-08
2.020906434e-01 1.2638790e-08
2.021310616e-01 1.0422897e-08
2.021714878e-01 8.2499230e-09
2.022119221e-01 6.0765148e-09
2.022523645e-01 4.2947165e-09
2.022928149e-01 3.0337054e-09
2.023332735e-01 1.7482919e-09
2.023737402e-01 1.0528241e-09
2.024142149e-01 3.5721720e-10
2.024546978e-01 6.9409625e-11
2.024951887e-01 2.1208772e-10
2.025356877e-01 3.5433010e-10
2.025761949e-01 4.6972076e-10
2.026167101e-01 -1.5191726e-09
2.026572334e-01 3.2585959e-09
2.026977649e-01 8.0373199e-09
2.027383044e-01 1.4557767e-08
2.027788521e-01 4.0698722e-08
2.028194079e-01 8.8372336e-08
2.028599718e-01 5.8518791e-08
2.029005438e-01 2.8659276e-08
2.029411239e-01 1.4708401e-08
2.029817121e-01 9.0317067e-08
2.030223084e-01 2.0574372e-07
2.030629129e-01 1.5404031e-07
2.031035255e-01 1.0232657e-07
2.031441462e-01 5.8575036e-08
2.031847750e-01 4.2256020e-08
2.032254120e-01 2.4190902e-08
2.032660570e-01 1.5253501e-08
2.033067103e-01 6.3143124e-09
2.033473716e-01 1.8053591e-09
2.033880411e-01 7.4320977e-09
2.034287187e-01 2.7604398e-09
2.034694044e-01 7.5102133e-08
2.035100983e-01 1.4745830e-07
2.035508003e-01 1.6150156e-07
2.035915105e-01 8.3603914e-08
2.036322288e-01 3.8038311e-10
2.036729552e-01 4.9321939e-10
2.037136898e-01 6.0607824e-10
2.037544326e-01 1.5368376e-09
2.037951834e-01 3.3648653e-09
2.038359425e-01 5.4083864e-09
2.038767097e-01 1.6542485e-08
2.039174850e-01 3.5229347e-08
2.039582685e-01 2.8786533e-08
2.039990602e-01 2.2342431e-08
2.040398600e-01 1.6283423e-08
2.040806680e-01 1.3081099e-08
2.041214841e-01 9.3501757e-09
2.041623084e-01 7.7412494e-09
2.042031408e-01 6.1320012e-09
2.042439815e-01 4.5832901e-09
2.042848303e-01 3.2501917e-09
2.043256872e-01 8.9300526e-10
2.043665524e-01 4.5924281e-09
2.044074257e-01 8.2925908e-09
2.044483072e-01 9.6503172e-09
2.044891968e-01 6.6551985e-09
2.045300947e-01 -5.7985871e-09
2.045710007e-01 9.0272708e-08
2.046119149e-01 1.8636322e-07
2.046528373e-01 1.9335778e-07
2.046937678e-01 9.5852814e-08
2.047347066e-01 3.7760480e-11
2.047756535e-01 1.5541596e-09
2.048166087e-01 4.3324490e-09
2.048575720e-01 2.8779295e-09
2.048985435e-01 1.4231191e-09
2.049395232e-01 1.6729008e-10
2.049805111e-01 1.9070401e-10
2.050215072e-01 -5.1121435e-10
2.050625115e-01 1.8929380e-09
2.051035240e-01 4.2975711e-09
2.051445447e-01 2.6535665e-08
2.051855736e-01 1.0611024e-07
2.052266107e-01 2.1478666e-07
2.052676561e-01 1.3282845e-07
2.053087096e-01 5.0853850e-08
2.053497713e-01 2.8955789e-09
2.053908413e-01 9.5123797e-09
2.054319195e-01 1.6725093e-08
2.054730058e-01 1.1602595e-08
